Year,Number of seats - Vidhan Sabhas,Number of electors,Number of votes polled,Number of valid votes polled,Percentage of votes polled
2000,621,96848465,60863266,60086040,62.84
2001,824,132981673,91682025,91503795,68.94
2002,959,162610378,91923473,91742832,56.53
2003,878,102629569,69236882,66806794,67.46
2004,697,115667178,78066138,78026621,67.49
2005,657,134575644,67354156,67342495,50.05
2006,824,134345929,101812769,101755877,75.78
2007,938,180225337,95760846,95926937,53.13
2008,180,4554900,4106644,4100021,90.16
2009,992,193268747,125422697,125733981,64.9
2010,243,55120656,29034705,29058604,52.67
2011,824,145606345,116111638,116463760,79.74
2012,940,197117093,126575548,127027322,65.53
2013,1034,197117093,121437273,120514648,73.27
2014,1079,223262105,154928094,153354084,69.39
2015,70,13313295,8982228,8942372,67.47
